Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
BRAC_HUMAN.H11MO.0.A		T	20	A	Brachyury-related factors{6.5.1}	6862	BRAC_HUMAN
CDX1_HUMAN.H11MO.0.C		CDX1	8	C	HOX-related factors{3.1.1}	1044	CDX1_HUMAN
CDX2_HUMAN.H11MO.0.A		CDX2	12	A	HOX-related factors{3.1.1}	1045	CDX2_HUMAN
CEBPA_HUMAN.H11MO.0.A		CEBPA	12	A	C/EBP-related{1.1.8}	1050	CEBPA_HUMAN
CEBPB_HUMAN.H11MO.0.A		CEBPB	12	A	C/EBP-related{1.1.8}	1051	CEBPB_HUMAN
CEBPD_HUMAN.H11MO.0.C		CEBPD	11	C	C/EBP-related{1.1.8}	1052	CEBPD_HUMAN
CEBPE_HUMAN.H11MO.0.A		CEBPE	12	A	C/EBP-related{1.1.8}	1053	CEBPE_HUMAN
CEBPG_HUMAN.H11MO.0.B		CEBPG	12	B	C/EBP-related{1.1.8}	1054	CEBPG_HUMAN
CLOCK_HUMAN.H11MO.0.C		CLOCK	14	C	PAS domain factors{1.2.5}	9575	CLOCK_HUMAN
COE1_HUMAN.H11MO.0.A		EBF1	15	A	Early B-Cell Factor-related factors{6.1.5}	1879	COE1_HUMAN
COT1_HUMAN.H11MO.0.C		NR2F1	17	C	RXR-related receptors (NR2){2.1.3}	7025	COT1_HUMAN
COT2_HUMAN.H11MO.0.A		NR2F2	13	A	RXR-related receptors (NR2){2.1.3}	7026	COT2_HUMAN
CREB1_HUMAN.H11MO.0.A		CREB1	11	A	CREB-related factors{1.1.7}	1385	CREB1_HUMAN
CREM_HUMAN.H11MO.0.C		CREM	11	C	CREB-related factors{1.1.7}	1390	CREM_HUMAN
CRX_HUMAN.H11MO.0.B		CRX	13	B	Paired-related HD factors{3.1.3}	1406	CRX_HUMAN
CTCFL_HUMAN.H11MO.0.A		CTCFL	17	A	More than 3 adjacent zinc finger factors{2.3.3}	140690	CTCFL_HUMAN
CTCF_HUMAN.H11MO.0.A		CTCF	19	A	More than 3 adjacent zinc finger factors{2.3.3}	10664	CTCF_HUMAN
CUX1_HUMAN.H11MO.0.C		CUX1	14	C	HD-CUT factors{3.1.9}	1523	CUX1_HUMAN
DBP_HUMAN.H11MO.0.B		DBP	11	B	C/EBP-related{1.1.8}	1628	DBP_HUMAN
DLX3_HUMAN.H11MO.0.C		DLX3	10	C	NK-related factors{3.1.2}	1747	DLX3_HUMAN
DUX4_HUMAN.H11MO.0.A		DUX4	11	A	Paired-related HD factors{3.1.3}	100288687	DUX4_HUMAN
E2F1_HUMAN.H11MO.0.A		E2F1	14	A	E2F-related factors{3.3.2}	1869	E2F1_HUMAN
E2F2_HUMAN.H11MO.0.B		E2F2	10	B	E2F-related factors{3.3.2}	1870	E2F2_HUMAN
E2F3_HUMAN.H11MO.0.A		E2F3	11	A	E2F-related factors{3.3.2}	1871	E2F3_HUMAN
E2F4_HUMAN.H11MO.0.A		E2F4	13	A	E2F-related factors{3.3.2}	1874	E2F4_HUMAN
E2F5_HUMAN.H11MO.0.B		E2F5	10	B	E2F-related factors{3.3.2}	1875	E2F5_HUMAN
E2F6_HUMAN.H11MO.0.A		E2F6	13	A	E2F-related factors{3.3.2}	1876	E2F6_HUMAN
E2F7_HUMAN.H11MO.0.B		E2F7	13	B	E2F-related factors{3.3.2}	144455	E2F7_HUMAN
EGR1_HUMAN.H11MO.0.A		EGR1	17	A	Three-zinc finger Krüppel-related factors{2.3.1}	1958	EGR1_HUMAN
EGR2_HUMAN.H11MO.0.A		EGR2	18	A	Three-zinc finger Krüppel-related factors{2.3.1}	1959	EGR2_HUMAN
EHF_HUMAN.H11MO.0.B		EHF	15	B	Ets-related factors{3.5.2}	26298	EHF_HUMAN
ELF1_HUMAN.H11MO.0.A		ELF1	14	A	Ets-related factors{3.5.2}	1997	ELF1_HUMAN
ELF2_HUMAN.H11MO.0.C		ELF2	13	C	Ets-related factors{3.5.2}	1998	ELF2_HUMAN
ELF3_HUMAN.H11MO.0.A		ELF3	14	A	Ets-related factors{3.5.2}	1999	ELF3_HUMAN
ELF5_HUMAN.H11MO.0.A		ELF5	15	A	Ets-related factors{3.5.2}	2001	ELF5_HUMAN
ELK1_HUMAN.H11MO.0.B		ELK1	11	B	Ets-related factors{3.5.2}	2002	ELK1_HUMAN
ELK4_HUMAN.H11MO.0.A		ELK4	12	A	Ets-related factors{3.5.2}	2005	ELK4_HUMAN
EPAS1_HUMAN.H11MO.0.B		EPAS1	9	B	PAS domain factors{1.2.5}	2034	EPAS1_HUMAN
ERG_HUMAN.H11MO.0.A		ERG	13	A	Ets-related factors{3.5.2}	2078	ERG_HUMAN
ERR1_HUMAN.H11MO.0.A		ESRRA	15	A	Steroid hormone receptors (NR3){2.1.1}	2101	ERR1_HUMAN
ERR2_HUMAN.H11MO.0.A		ESRRB	9	A	Steroid hormone receptors (NR3){2.1.1}	2103	ERR2_HUMAN
ERR3_HUMAN.H11MO.0.B		ESRRG	9	B	Steroid hormone receptors (NR3){2.1.1}	2104	ERR3_HUMAN
ESR1_HUMAN.H11MO.0.A		ESR1	15	A	Steroid hormone receptors (NR3){2.1.1}	2099	ESR1_HUMAN
ESR2_HUMAN.H11MO.0.A		ESR2	15	A	Steroid hormone receptors (NR3){2.1.1}	2100	ESR2_HUMAN
ETS1_HUMAN.H11MO.0.A		ETS1	13	A	Ets-related factors{3.5.2}	2113	ETS1_HUMAN
ETS2_HUMAN.H11MO.0.B		ETS2	13	B	Ets-related factors{3.5.2}	2114	ETS2_HUMAN
ETV1_HUMAN.H11MO.0.A		ETV1	11	A	Ets-related factors{3.5.2}	2115	ETV1_HUMAN
ETV2_HUMAN.H11MO.0.B		ETV2	16	B	Ets-related factors{3.5.2}	2116	ETV2_HUMAN
ETV4_HUMAN.H11MO.0.B		ETV4	11	B	Ets-related factors{3.5.2}	2118	ETV4_HUMAN
ETV5_HUMAN.H11MO.0.C		ETV5	14	C	Ets-related factors{3.5.2}	2119	ETV5_HUMAN
EVI1_HUMAN.H11MO.0.B		MECOM	16	B	Factors with multiple dispersed zinc fingers{2.3.4}	2122	EVI1_HUMAN
FEV_HUMAN.H11MO.0.B		FEV	10	B	Ets-related factors{3.5.2}	54738	FEV_HUMAN
FEZF1_HUMAN.H11MO.0.C		FEZF1	12	C	More than 3 adjacent zinc finger factors{2.3.3}	389549	FEZF1_HUMAN
FLI1_HUMAN.H11MO.0.A		FLI1	18	A	Ets-related factors{3.5.2}	2313	FLI1_HUMAN
FOSB_HUMAN.H11MO.0.A		FOSB	9	A	Fos-related factors{1.1.2}	2354	FOSB_HUMAN
FOSL1_HUMAN.H11MO.0.A		FOSL1	12	A	Fos-related factors{1.1.2}	8061	FOSL1_HUMAN
FOSL2_HUMAN.H11MO.0.A		FOSL2	12	A	Fos-related factors{1.1.2}	2355	FOSL2_HUMAN
FOS_HUMAN.H11MO.0.A		FOS	9	A	Fos-related factors{1.1.2}	2353	FOS_HUMAN
FOXA1_HUMAN.H11MO.0.A		FOXA1	12	A	Forkhead box (FOX) factors{3.3.1}	3169	FOXA1_HUMAN
FOXA2_HUMAN.H11MO.0.A		FOXA2	12	A	Forkhead box (FOX) factors{3.3.1}	3170	FOXA2_HUMAN
FOXA3_HUMAN.H11MO.0.B		FOXA3	13	B	Forkhead box (FOX) factors{3.3.1}	3171	FOXA3_HUMAN
FOXC1_HUMAN.H11MO.0.C		FOXC1	15	C	Forkhead box (FOX) factors{3.3.1}	2296	FOXC1_HUMAN
FOXH1_HUMAN.H11MO.0.A		FOXH1	9	A	Forkhead box (FOX) factors{3.3.1}	8928	FOXH1_HUMAN
FOXI1_HUMAN.H11MO.0.B		FOXI1	12	B	Forkhead box (FOX) factors{3.3.1}	2299	FOXI1_HUMAN
FOXJ2_HUMAN.H11MO.0.C		FOXJ2	10	C	Forkhead box (FOX) factors{3.3.1}	55810	FOXJ2_HUMAN
FOXJ3_HUMAN.H11MO.0.A		FOXJ3	13	A	Forkhead box (FOX) factors{3.3.1}	22887	FOXJ3_HUMAN
FOXK1_HUMAN.H11MO.0.A		FOXK1	10	A	Forkhead box (FOX) factors{3.3.1}	221937	FOXK1_HUMAN
FOXM1_HUMAN.H11MO.0.A		FOXM1	12	A	Forkhead box (FOX) factors{3.3.1}	2305	FOXM1_HUMAN
FOXO1_HUMAN.H11MO.0.A		FOXO1	12	A	Forkhead box (FOX) factors{3.3.1}	2308	FOXO1_HUMAN
FOXO3_HUMAN.H11MO.0.B		FOXO3	10	B	Forkhead box (FOX) factors{3.3.1}	2309	FOXO3_HUMAN
FOXO4_HUMAN.H11MO.0.C		FOXO4	9	C	Forkhead box (FOX) factors{3.3.1}	4303	FOXO4_HUMAN
FOXP1_HUMAN.H11MO.0.A		FOXP1	9	A	Forkhead box (FOX) factors{3.3.1}	27086	FOXP1_HUMAN
FOXP2_HUMAN.H11MO.0.C		FOXP2	9	C	Forkhead box (FOX) factors{3.3.1}	93986	FOXP2_HUMAN
FOXQ1_HUMAN.H11MO.0.C		FOXQ1	12	C	Forkhead box (FOX) factors{3.3.1}	94234	FOXQ1_HUMAN
GABPA_HUMAN.H11MO.0.A		GABPA	14	A	Ets-related factors{3.5.2}	2551	GABPA_HUMAN
GATA1_HUMAN.H11MO.0.A		GATA1	19	A	GATA-type zinc fingers{2.2.1}	2623	GATA1_HUMAN
GATA2_HUMAN.H11MO.0.A		GATA2	19	A	GATA-type zinc fingers{2.2.1}	2624	GATA2_HUMAN
GATA3_HUMAN.H11MO.0.A		GATA3	11	A	GATA-type zinc fingers{2.2.1}	2625	GATA3_HUMAN
GATA4_HUMAN.H11MO.0.A		GATA4	10	A	GATA-type zinc fingers{2.2.1}	2626	GATA4_HUMAN
GATA6_HUMAN.H11MO.0.A		GATA6	13	A	GATA-type zinc fingers{2.2.1}	2627	GATA6_HUMAN
GCR_HUMAN.H11MO.0.A		NR3C1	15	A	Steroid hormone receptors (NR3){2.1.1}	2908	GCR_HUMAN
GFI1B_HUMAN.H11MO.0.A		GFI1B	10	A	More than 3 adjacent zinc finger factors{2.3.3}	8328	GFI1B_HUMAN
GFI1_HUMAN.H11MO.0.C		GFI1	10	C	More than 3 adjacent zinc finger factors{2.3.3}	2672	GFI1_HUMAN
GLI3_HUMAN.H11MO.0.B		GLI3	11	B	More than 3 adjacent zinc finger factors{2.3.3}	2737	GLI3_HUMAN
GRHL2_HUMAN.H11MO.0.A		GRHL2	12	A	Grainyhead-related factors{6.7.1}	79977	GRHL2_HUMAN
HEN1_HUMAN.H11MO.0.C		NHLH1	20	C	Tal-related factors{1.2.3}	4807	HEN1_HUMAN
HIC1_HUMAN.H11MO.0.C		HIC1	9	C	Factors with multiple dispersed zinc fingers{2.3.4}	3090	HIC1_HUMAN
HIF1A_HUMAN.H11MO.0.C		HIF1A	8	C	PAS domain factors{1.2.5}	3091	HIF1A_HUMAN
HINFP_HUMAN.H11MO.0.C		HINFP	16	C	Factors with multiple dispersed zinc fingers{2.3.4}	25988	HINFP_HUMAN
HLF_HUMAN.H11MO.0.C		HLF	13	C	C/EBP-related{1.1.8}	3131	HLF_HUMAN
HNF1A_HUMAN.H11MO.0.C		HNF1A	15	C	POU domain factors{3.1.10}	6927	HNF1A_HUMAN
HNF1B_HUMAN.H11MO.0.A		HNF1B	15	A	POU domain factors{3.1.10}	6928	HNF1B_HUMAN
HNF4A_HUMAN.H11MO.0.A		HNF4A	14	A	RXR-related receptors (NR2){2.1.3}	3172	HNF4A_HUMAN
HNF4G_HUMAN.H11MO.0.B		HNF4G	14	B	RXR-related receptors (NR2){2.1.3}	3174	HNF4G_HUMAN
HNF6_HUMAN.H11MO.0.B		ONECUT1	11	B	HD-CUT factors{3.1.9}	3175	HNF6_HUMAN
HSF1_HUMAN.H11MO.0.A		HSF1	15	A	HSF factors{3.4.1}	3297	HSF1_HUMAN
HSF2_HUMAN.H11MO.0.A		HSF2	14	A	HSF factors{3.4.1}	3298	HSF2_HUMAN
HTF4_HUMAN.H11MO.0.A		TCF12	10	A	E2A-related factors{1.2.1}	6938	HTF4_HUMAN
HXA10_HUMAN.H11MO.0.C		HOXA10	12	C	HOX-related factors{3.1.1}	3206	HXA10_HUMAN
HXA13_HUMAN.H11MO.0.C		HOXA13	11	C	HOX-related factors{3.1.1}	3209	HXA13_HUMAN
HXA1_HUMAN.H11MO.0.C		HOXA1	10	C	HOX-related factors{3.1.1}	3198	HXA1_HUMAN
HXA9_HUMAN.H11MO.0.B		HOXA9	11	B	HOX-related factors{3.1.1}	3205	HXA9_HUMAN
HXB13_HUMAN.H11MO.0.A		HOXB13	10	A	HOX-related factors{3.1.1}	10481	HXB13_HUMAN
HXB4_HUMAN.H11MO.0.B		HOXB4	8	B	HOX-related factors{3.1.1}	3214	HXB4_HUMAN
HXB7_HUMAN.H11MO.0.C		HOXB7	10	C	HOX-related factors{3.1.1}	3217	HXB7_HUMAN
HXB8_HUMAN.H11MO.0.C		HOXB8	11	C	HOX-related factors{3.1.1}	3218	HXB8_HUMAN
HXC9_HUMAN.H11MO.0.C		HOXC9	10	C	HOX-related factors{3.1.1}	3225	HXC9_HUMAN
IKZF1_HUMAN.H11MO.0.C		IKZF1	8	C	Factors with multiple dispersed zinc fingers{2.3.4}	10320	IKZF1_HUMAN
INSM1_HUMAN.H11MO.0.C		INSM1	12	C	Factors with multiple dispersed zinc fingers{2.3.4}	3642	INSM1_HUMAN
IRF1_HUMAN.H11MO.0.A		IRF1	20	A	Interferon-regulatory factors{3.5.3}	3659	IRF1_HUMAN
IRF2_HUMAN.H11MO.0.A		IRF2	20	A	Interferon-regulatory factors{3.5.3}	3660	IRF2_HUMAN
IRF3_HUMAN.H11MO.0.B		IRF3	20	B	Interferon-regulatory factors{3.5.3}	3661	IRF3_HUMAN
IRF4_HUMAN.H11MO.0.A		IRF4	18	A	Interferon-regulatory factors{3.5.3}	3662	IRF4_HUMAN
IRF7_HUMAN.H11MO.0.C		IRF7	10	C	Interferon-regulatory factors{3.5.3}	3665	IRF7_HUMAN
IRF8_HUMAN.H11MO.0.B		IRF8	20	B	Interferon-regulatory factors{3.5.3}	3394	IRF8_HUMAN
IRF9_HUMAN.H11MO.0.C		IRF9	12	C	Interferon-regulatory factors{3.5.3}	10379	IRF9_HUMAN
ISL1_HUMAN.H11MO.0.A		ISL1	9	A	HD-LIM factors{3.1.5}	3670	ISL1_HUMAN
ITF2_HUMAN.H11MO.0.C		TCF4	10	C	E2A-related factors{1.2.1}	6925	ITF2_HUMAN
JUNB_HUMAN.H11MO.0.A		JUNB	11	A	Jun-related factors{1.1.1}	3726	JUNB_HUMAN
JUND_HUMAN.H11MO.0.A		JUND	11	A	Jun-related factors{1.1.1}	3727	JUND_HUMAN
JUN_HUMAN.H11MO.0.A		JUN	11	A	Jun-related factors{1.1.1}	3725	JUN_HUMAN
KAISO_HUMAN.H11MO.0.A		ZBTB33	15	A	Other factors with up to three adjacent zinc fingers{2.3.2}	10009	KAISO_HUMAN
KLF12_HUMAN.H11MO.0.C		KLF12	11	C	Three-zinc finger Krüppel-related factors{2.3.1}	11278	KLF12_HUMAN
KLF15_HUMAN.H11MO.0.A		KLF15	19	A	Three-zinc finger Krüppel-related factors{2.3.1}	28999	KLF15_HUMAN
KLF1_HUMAN.H11MO.0.A		KLF1	14	A	Three-zinc finger Krüppel-related factors{2.3.1}	10661	KLF1_HUMAN
KLF3_HUMAN.H11MO.0.B		KLF3	19	B	Three-zinc finger Krüppel-related factors{2.3.1}	51274	KLF3_HUMAN
KLF4_HUMAN.H11MO.0.A		KLF4	10	A	Three-zinc finger Krüppel-related factors{2.3.1}	9314	KLF4_HUMAN
KLF5_HUMAN.H11MO.0.A		KLF5	14	A	Three-zinc finger Krüppel-related factors{2.3.1}	688	KLF5_HUMAN
KLF6_HUMAN.H11MO.0.A		KLF6	19	A	Three-zinc finger Krüppel-related factors{2.3.1}	1316	KLF6_HUMAN
KLF8_HUMAN.H11MO.0.C		KLF8	9	C	Three-zinc finger Krüppel-related factors{2.3.1}	11279	KLF8_HUMAN
KLF9_HUMAN.H11MO.0.C		KLF9	15	C	Three-zinc finger Krüppel-related factors{2.3.1}	687	KLF9_HUMAN
LEF1_HUMAN.H11MO.0.A		LEF1	14	A	TCF-7-related factors{4.1.3}	51176	LEF1_HUMAN
LHX2_HUMAN.H11MO.0.A		LHX2	12	A	HD-LIM factors{3.1.5}	9355	LHX2_HUMAN
LHX3_HUMAN.H11MO.0.C		LHX3	13	C	HD-LIM factors{3.1.5}	8022	LHX3_HUMAN
LYL1_HUMAN.H11MO.0.A		LYL1	14	A	Tal-related factors{1.2.3}	4066	LYL1_HUMAN
MAFB_HUMAN.H11MO.0.B		MAFB	11	B	Maf-related factors{1.1.3}	9935	MAFB_HUMAN
MAFF_HUMAN.H11MO.0.B		MAFF	18	B	Maf-related factors{1.1.3}	23764	MAFF_HUMAN
MAFG_HUMAN.H11MO.0.A		MAFG	18	A	Maf-related factors{1.1.3}	4097	MAFG_HUMAN
MAFK_HUMAN.H11MO.0.A		MAFK	18	A	Maf-related factors{1.1.3}	7975	MAFK_HUMAN
MAF_HUMAN.H11MO.0.A		MAF	19	A	Maf-related factors{1.1.3}	4094	MAF_HUMAN
MAX_HUMAN.H11MO.0.A		MAX	10	A	bHLH-ZIP factors{1.2.6}	4149	MAX_HUMAN
MAZ_HUMAN.H11MO.0.A		MAZ	22	A	Factors with multiple dispersed zinc fingers{2.3.4}	4150	MAZ_HUMAN
MBD2_HUMAN.H11MO.0.B		MBD2	11	B		8932	MBD2_HUMAN
MECP2_HUMAN.H11MO.0.C		MECP2	7	C		4204	MECP2_HUMAN
MEF2A_HUMAN.H11MO.0.A		MEF2A	13	A	Regulators of differentiation{5.1.1}	4205	MEF2A_HUMAN
MEF2B_HUMAN.H11MO.0.A		MEF2B	14	A	Regulators of differentiation{5.1.1}	100271849; 4207	MEF2B_HUMAN
MEF2C_HUMAN.H11MO.0.A		MEF2C	13	A	Regulators of differentiation{5.1.1}	4208	MEF2C_HUMAN
MEF2D_HUMAN.H11MO.0.A		MEF2D	12	A	Regulators of differentiation{5.1.1}	4209	MEF2D_HUMAN
MEIS1_HUMAN.H11MO.0.A		MEIS1	12	A	TALE-type homeo domain factors{3.1.4}	4211	MEIS1_HUMAN
MEIS2_HUMAN.H11MO.0.B		MEIS2	13	B	TALE-type homeo domain factors{3.1.4}	4212	MEIS2_HUMAN
MITF_HUMAN.H11MO.0.A		MITF	10	A	bHLH-ZIP factors{1.2.6}	4286	MITF_HUMAN
MTF1_HUMAN.H11MO.0.C		MTF1	17	C	More than 3 adjacent zinc finger factors{2.3.3}	4520	MTF1_HUMAN
MXI1_HUMAN.H11MO.0.A		MXI1	15	A	bHLH-ZIP factors{1.2.6}	4601	MXI1_HUMAN
MYB_HUMAN.H11MO.0.A		MYB	12	A	Myb/SANT domain factors{3.5.1}	4602	MYB_HUMAN
MYCN_HUMAN.H11MO.0.A		MYCN	12	A	bHLH-ZIP factors{1.2.6}	4613	MYCN_HUMAN
MYC_HUMAN.H11MO.0.A		MYC	11	A	bHLH-ZIP factors{1.2.6}	4609	MYC_HUMAN
MYF6_HUMAN.H11MO.0.C		MYF6	7	C	MyoD / ASC-related factors{1.2.2}	4618	MYF6_HUMAN
MYOD1_HUMAN.H11MO.0.A		MYOD1	15	A	MyoD / ASC-related factors{1.2.2}	4654	MYOD1_HUMAN
MYOG_HUMAN.H11MO.0.B		MYOG	13	B	MyoD / ASC-related factors{1.2.2}	4656	MYOG_HUMAN
MZF1_HUMAN.H11MO.0.B		MZF1	13	B	More than 3 adjacent zinc finger factors{2.3.3}	7593	MZF1_HUMAN
NANOG_HUMAN.H11MO.0.A		NANOG	17	A	NK-related factors{3.1.2}	79923	NANOG_HUMAN
NDF1_HUMAN.H11MO.0.A		NEUROD1	10	A	Tal-related factors{1.2.3}	4760	NDF1_HUMAN
NDF2_HUMAN.H11MO.0.B		NEUROD2	9	B	Tal-related factors{1.2.3}	4761	NDF2_HUMAN
NF2L1_HUMAN.H11MO.0.C		NFE2L1	7	C	Jun-related factors{1.1.1}	4779	NF2L1_HUMAN
NF2L2_HUMAN.H11MO.0.A		NFE2L2	14	A	Jun-related factors{1.1.1}	4780	NF2L2_HUMAN
NFAC1_HUMAN.H11MO.0.B		NFATC1	15	B	NFAT-related factors{6.1.3}	4772	NFAC1_HUMAN
NFAC2_HUMAN.H11MO.0.B		NFATC2	9	B	NFAT-related factors{6.1.3}	4773	NFAC2_HUMAN
NFAC3_HUMAN.H11MO.0.B		NFATC3	9	B	NFAT-related factors{6.1.3}	4775	NFAC3_HUMAN
NFAC4_HUMAN.H11MO.0.C		NFATC4	10	C	NFAT-related factors{6.1.3}	4776	NFAC4_HUMAN
NFE2_HUMAN.H11MO.0.A		NFE2	13	A	Jun-related factors{1.1.1}	4778	NFE2_HUMAN
NFIA_HUMAN.H11MO.0.C		NFIA	15	C	Nuclear factor 1{7.1.2}	4774	NFIA_HUMAN
NFIC_HUMAN.H11MO.0.A		NFIC	17	A	Nuclear factor 1{7.1.2}	4782	NFIC_HUMAN
NFKB1_HUMAN.H11MO.1.B		NFKB1	11	B	NF-kappaB-related factors{6.1.1}	4790	NFKB1_HUMAN
NFKB2_HUMAN.H11MO.0.B		NFKB2	11	B	NF-kappaB-related factors{6.1.1}	4791	NFKB2_HUMAN
NFYA_HUMAN.H11MO.0.A		NFYA	14	A	Heteromeric CCAAT-binding factors{4.2.1}	4800	NFYA_HUMAN
NFYB_HUMAN.H11MO.0.A		NFYB	13	A	Heteromeric CCAAT-binding factors{4.2.1}	4801	NFYB_HUMAN
NFYC_HUMAN.H11MO.0.A		NFYC	14	A	Heteromeric CCAAT-binding factors{4.2.1}	4802	NFYC_HUMAN
NKX21_HUMAN.H11MO.0.A		NKX2-1	10	A	NK-related factors{3.1.2}	7080	NKX21_HUMAN
NKX25_HUMAN.H11MO.0.B		NKX2-5	8	B	NK-related factors{3.1.2}	1482	NKX25_HUMAN
NKX28_HUMAN.H11MO.0.C		NKX2-8	9	C	NK-related factors{3.1.2}	26257	NKX28_HUMAN
NKX31_HUMAN.H11MO.0.C		NKX3-1	12	C	NK-related factors{3.1.2}	4824	NKX31_HUMAN
NKX32_HUMAN.H11MO.0.C		NKX3-2	10	C	NK-related factors{3.1.2}	579	NKX32_HUMAN
NKX61_HUMAN.H11MO.0.B		NKX6-1	19	B	NK-related factors{3.1.2}	4825	NKX61_HUMAN
NOBOX_HUMAN.H11MO.0.C		NOBOX	9	C	Paired-related HD factors{3.1.3}	135935	NOBOX_HUMAN
NR1D1_HUMAN.H11MO.0.B		NR1D1	19	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	9572	NR1D1_HUMAN
NR1H3_HUMAN.H11MO.0.B		NR1H3	19	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	10062	NR1H3_HUMAN
NR1H4_HUMAN.H11MO.0.B		NR1H4	19	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	9971	NR1H4_HUMAN
NR1I2_HUMAN.H11MO.0.C		NR1I2	19	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	8856	NR1I2_HUMAN
NR1I3_HUMAN.H11MO.0.C		NR1I3	18	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	9970	NR1I3_HUMAN
NR2C1_HUMAN.H11MO.0.C		NR2C1	13	C	RXR-related receptors (NR2){2.1.3}	7181	NR2C1_HUMAN
NR2C2_HUMAN.H11MO.0.B		NR2C2	12	B	RXR-related receptors (NR2){2.1.3}	7182	NR2C2_HUMAN
NR2E3_HUMAN.H11MO.0.C		NR2E3	14	C	RXR-related receptors (NR2){2.1.3}	10002	NR2E3_HUMAN
NR4A1_HUMAN.H11MO.0.A		NR4A1	9	A	NGFI-B-related receptors (NR4){2.1.4}	3164	NR4A1_HUMAN
NR4A2_HUMAN.H11MO.0.C		NR4A2	9	C	NGFI-B-related receptors (NR4){2.1.4}	4929	NR4A2_HUMAN
NR5A2_HUMAN.H11MO.0.B		NR5A2	11	B	FTZ-F1-related receptors (NR5){2.1.5}	2494	NR5A2_HUMAN
NR6A1_HUMAN.H11MO.0.B		NR6A1	13	B	GCNF-related receptors (NR6){2.1.6}	2649	NR6A1_HUMAN
NRF1_HUMAN.H11MO.0.A		NRF1	17	A	NRF{0.0.6}	4899	NRF1_HUMAN
OLIG2_HUMAN.H11MO.0.B		OLIG2	18	B	Tal-related factors{1.2.3}	10215	OLIG2_HUMAN
OSR2_HUMAN.H11MO.0.C		OSR2	16	C	More than 3 adjacent zinc finger factors{2.3.3}	116039	OSR2_HUMAN
